"Leighton, Michael & Bader, Stefan (2010) Responsive shading - intelligent façade systems Proceedings of the 30th annual conference of the Association of Computer Aided Design in Architecture ACADIA, Nueva York, EE.UU. pp. 263-269 ",null
"Lewis, M. & Wojtowicz, J. (2001), Design in the new media: Digital design pedagogy at the SoA, University of British Columbia, eCAADe 2001: Architectural Information Management, Helsinki University of Technology, Helsinki, pp. 256-261. ",null
"Lim, Sungwoo et al. (2008) Shape Exploration in Design: Formalising and Supporting a Transformational Process. International Journal Of Architectural Computing Número 04, Volúmen 06, 2008 , pp. 415-433(19) ",null
"Lyon Gottlieb, Arturo & García, Rodrigo. (2010). Variaciones intensivas: diseño paramétrico de edificios en altura basado en análisis topológico. SIGraDi 2010, Memorias del XIV Congreso de la Sociedad Iberoamericana de Gráfica Digital, Bogotá, Colombia, pp. 129-132 ",null
"Menges, Achim (2010) Material information: integrating material characteristics and behaviour in computational design for performative wood construction. Proceedings of the 30th annual conference of the Association of Computer Aided Design in Architecture ACADIA, Nueva York, EE.UU. pp. 151-157 ",null
"McLaren, Susan Valerie (2008) Exploring perceptions and attitudes towards teaching and learning manual technical drawing in a digital age. Int J Technol Des Educ (2008) 18:167–188 ",null
"Muramoto, Katsuhiko et al. (2009) A Cyber-Enabled Collaborative Design Studio. International Journal Of Architectural Computing Número 02, Volúmen 07, 2009, pp. 267-288 ",null
"Oxman, Rivka (2008) Performance-based Design: Current Practices and Research Issues. International Journal Of Architectural Computing Número 01, Volúmen 06, 2008 , pp. 01-17 ",null
"Peng, Chengzhi. (2001) Design Through Digital Interaction. Bristol, GBR: Intellect Books, 2001. (e-brary) ",null
"Reffat, Rabee. (2007). Revitalizing architectural design studio teaching using ICT: Reflections on practical implementations. International Journal of Education and Development using ICT Vol. 3, No. 1 KFUPM, Saudi Arabia ",null
"Rocker, Ingeborg (2010) Interface: between analog and digital systems. Proceedings of the 30th annual conference of the Association of Computer Aided Design in Architecture ACADIA, Nueva York, EE.UU. pp. 53-60 ",null
"Ruiz-Tagle, Javier (2007) Modeling and simulating the City: Deciphering the Code of a Game of Strategy International Journal Of Architectural Computing Número 03, Volúmen 05, 2007 , pp. 571-586 ",null
"Schein, Markus & Tessmann, Oliver (2008) Structural Analysis as Driver in Surface-Based Design Approaches. International Journal Of Architectural Computing Número 01, Volúmen 06, 2008 , pp. 19-39",null
"Schmidt, Anne Marie Due (2005) Digital Tectonic Tools Conference paper eCAADe , 2005 Digital Design pp. 657-664 ",null
"Schnabel, Marc Aurel (2007). Disparallel Spaces: Creaciones con diseño paramétrico. Revista Alarife N. 14: Construcciones Digitales, 2007, Universidad Piloto de Colombia, pp. 29-30 ",null
"Schnabel, Marc Aurel (2002) Collaborative Studio in a Virtual Environment. International Conference on Computers in Education, Massey, New Zealand, December 2002 ",null
"Tenu, Vlad, (2010) Minimal surface and self-organizing systems Proceedings of the 30th annual conference of the Association of Computer Aided Design in Architecture ACADIA, Nueva York, EE.UU. pp. 196-202 ",null
"Turkienicz, Benamy et al. (2008) CityZoom:A Visualization Tool for the Assessment of Planning Regulations. International Journal Of Architectural Computing Número 01, Volúmen 06, 2008, pp. 79-95 ",null
"Vásquez de Velasco, Guillermo. (2006) Campus sin Fronteras: Media Digital en la Promoción de Educación Transnacional. SiGraDi2006 / Educacion y Desarrollo Académico. Santiago de Chile, Chile. ",null
"Woodbury, Robert (2010) Elements of Parametric Design, Routledge 2010, Nueva York, EE.UU.",null
Meteonorm database (2012) Datos descargados de database del software Meteonorm. En http://meteonorm.com/products/meteonorm-software/.,null
"Barney, J. (1991). Firm Resources and Sustained Competitive Advantage. Journal of Management, 17(1), 99.",null
"Boks, C. (2006). The soft side of ecodesign. Journal of Cleaner Production, 14(15–16), 1346-1356. doi: 10.1016/j.jclepro.2005.11.015",https://doi.org/10.1016/j.jclepro.2005.11.015
"De Bakker, F. G. A., Fisscher, O. A. M. & Brack, A. J. P. (2002). Organizing productoriented environmental management from a firm’s perspective. Journal of Cleaner Production, 10(5), 455-464. doi: 10.1016/s0959-6526(02)00012-4",https://doi.org/10.1016/s0959-6526(02)00012-4
"Estrela, S. (2011). Life Cycle Thinking in Canada. Journal of Industrial Ecology,15(4), 479-482. doi: 10.1111/j.1530-9290.2011.00363.x",https://doi.org/10.1111/j.1530-9290.2011.00363.x
"Mora Pérez, M., López Patiño, G., & López Jiménez, A. (2013). CFD model of air movement in ventilated facade: comparassion between natural and forced air flow. International Journal of Energy and Environment, 4(3), pp. 357-368.",null
"Szokolay, S. V. (1990). House design for over heated environments. Memoria del I encuentro Nacional de Diseno y medio ambiente. Colima-Mexico.",null
,
