,,UTCI,,IDEAM CI,,APP_TEMP,,DISTORTION,SILHOUETTE CF
n clusters,,abs dev,SD,abs dev,SD,abs dev,SD,,
,3,2.343,2.968,2.077,2.509,2.021,2.252,0.028,0.346
,4,1.555,1.89,1.457,1.678,1.907,1.952,0.02,0.355
,5,3.058,4.048,1.637,2.87,2.846,3.14,0.038,0.185
,6,1.258,1.346,0.665,0.537,1.955,1.435,0.009,0.402
,7,3.256,3.819,3.851,3.62,1.984,2.1,0.047,0.352
,8,1.966,1.736,1.058,0.725,3.131,1.736,0.013,0.256
,9,2.555,3.288,1.703,3.032,2.608,2.794,0.029,0.156
,10,3.019,2.8,1.107,1.013,3.766,2.448,0.025,0.473
,11,2.238,2.122,1.261,0.841,3.565,2.31,0.018,0.229
,12,1.695,1.679,0.795,0.855,2.134,1.536,0.014,0.359
,means:,2.31,2.473,1.437,1.604,2.729,2.108,0.023,0.314
14
,0,2.355,2.668,0.861,1.569,2.413,2.202,0.015,0.324
,1,2.947,1.767,1.477,0.568,5.063,1.581,0.024,0.44
,2,1.7,1.915,0.715,0.947,2.093,1.821,0.011,0.253
,3,2.343,2.968,2.077,2.509,2.021,2.252,0.028,0.349
,4,1.553,1.886,1.452,1.683,1.912,1.954,0.021,0.348
,5,3.049,4.035,1.579,2.768,2.806,3.13,0.038,0.173
,6,1.099,1.261,0.547,0.503,1.658,1.271,0.007,0.337
,7,3.244,3.806,3.831,3.607,1.978,2.089,0.047,0.353
,8,2.053,1.822,1.073,0.749,3.212,1.798,0.013,0.251
,9,2.569,3.272,1.739,3.049,2.598,2.781,0.029,0.155
,10,3.026,2.806,1.112,1.018,3.774,2.451,0.025,0.463
,11,2.365,2.309,1.393,0.895,4.097,2.437,0.018,0.25
,12,1.724,1.722,0.799,0.887,2.143,1.57,0.014,0.361
,13,1.622,1.61,0.91,0.633,2.536,1.748,0.009,0.212
,means:,2.261,2.418,1.398,1.528,2.736,2.078,0.021,0.305
15
,0,2.451,2.753,0.885,1.566,2.518,2.266,0.015,0.345
,1,2.944,1.642,1.517,0.491,5.336,1.464,0.021,0.401
,2,1.668,1.86,0.705,0.88,2.082,1.776,0.011,0.235
,3,2.384,3.032,2.07,2.51,2.021,2.257,0.028,0.343
,4,1.541,1.874,1.443,1.678,1.917,1.958,0.02,0.343
,5,3.167,4.139,1.505,2.772,2.909,3.255,0.037,0.192
,6,1.109,1.279,0.548,0.506,1.668,1.286,0.007,0.331
,7,3.215,3.783,3.814,3.6,1.988,2.098,0.047,0.347
,8,1.833,1.603,1.036,0.621,3,1.631,0.01,0.254
,9,2.207,2.755,1.764,2.982,2.317,2.375,0.028,0.168
,10,3.283,3.166,1.185,1.139,3.892,2.542,0.023,0.45
,11,2.37,2.311,1.396,0.896,4.136,2.435,0.019,0.25
,12,1.637,1.75,0.703,0.921,1.937,1.614,0.01,0.368
,13,1.612,1.567,0.91,0.633,2.516,1.736,0.009,0.234
,14,2.523,2.127,1.103,0.815,3.447,1.949,0.016,0.301
,means:,2.263,2.376,1.372,1.467,2.779,2.043,0.02,0.304
16
,0,2.347,2.639,0.858,1.507,2.428,2.164,0.014,0.353
,1,2.944,1.659,1.51,0.478,5.432,1.464,0.017,0.422
,2,1.726,1.667,0.83,0.563,2.544,1.671,0.01,0.254
,3,2.421,3.108,2.078,2.552,2.037,2.277,0.028,0.34
,4,1.565,1.906,1.459,1.697,1.901,1.942,0.02,0.354
,5,3.287,4.299,1.432,2.707,2.935,3.372,0.037,0.185
,6,1.08,1.219,0.549,0.484,1.657,1.237,0.007,0.332
,7,3.274,3.837,3.86,3.588,1.983,2.093,0.047,0.359
,8,2.554,1.853,1.389,0.644,4.329,1.771,0.015,0.239
,9,2.464,3.053,1.851,3.059,2.487,2.59,0.03,0.156
,10,3.306,3.191,1.197,1.152,3.909,2.546,0.022,0.442
,11,2.163,2.081,1.301,0.847,3.744,2.209,0.015,0.235
,12,1.645,1.753,0.704,0.86,1.965,1.632,0.01,0.371
,13,1.624,1.561,0.911,0.637,2.518,1.752,0.008,0.241
,14,2.357,2.005,1.028,0.664,3.25,1.797,0.013,0.317
,15,1.618,1.933,0.646,1.074,1.93,1.842,0.011,0.161
,means:,2.273,2.36,1.35,1.407,2.816,2.022,0.019,0.298
17
,0,2.404,2.7,0.863,1.462,2.486,2.2,0.014,0.346
,1,2.949,1.67,1.504,0.481,5.418,1.468,0.017,0.41
,2,1.664,1.851,0.728,0.836,2.085,1.777,0.01,0.241
,3,2.429,3.113,2.075,2.562,2.031,2.271,0.029,0.337
,4,1.546,1.893,1.456,1.682,1.889,1.925,0.02,0.357
,5,3.25,4.258,1.43,2.749,2.912,3.333,0.037,0.195
,6,1.047,1.111,0.54,0.486,1.611,1.217,0.005,0.339
,7,3.261,3.821,3.844,3.578,1.99,2.1,0.047,0.351
